Word,Count
*,96
the,46
,41
in,35
choose,34
change,34
To,34
template,32
this,32
and,27
|,18
Templates,18
Tools,18
License,16
for,16
\header,\,16
open,16
@author,16
Project,16
editor,16
\file,\,16
license,16
Properties,16
Headers,16
rental,15
add,11
to,10
get,9
components,9
rented,9
of,9
set,8
item,8
nrage,7
days,6
construct,6
if,6
basket,6
=,6
Kamil,6
new,5
each,5
by,5
window,5
is,5
than,4
(only,4
size,4
adjust,4
more,4
needed,4
Positioning),4
layout,4
price,4
bounds,4
night,4
component,4
Absolute,4
points,4
discount,3
nights,3
amount,3
on,3
per,3
Joel,3
product,3
game,3
applied,3
renter,3
title,3
are,3
figures,2
pattern,2
},2
from,2
available,2
ps3,2
check,2
gets,2
whole,2
ps4,2
observer,2
result,2
returned,2
display,2
items,2
panel,2
Initial,2
void,2
panels,2
public,2
database,2
generated,2
choice,2
body,2
show,2
2,2
max,2
\methods,\,2
{,2
7,2
Item,2
added,2
GUI,1
xboxOne,1
width,1
Updates,1
Starts,1
rentals,1
empty,1
based,1
box,1
create,1
Menu,1
pm.getPanelFromFactory(2);,1
sct,1
returned;,1
any,1
});,1
run(),1
ITem,1
details,1
there,1
screen,1
sizes,1
Implements,1
refresh,1
4,1
your,1
left,1
connection,1
MainUI().setVisible(true);,1
one,1
copies,1
applys,1
dialog,1
it,1
Overloaded,1
process,1
Removes,1
release,1
xbox,1
lines,1
Login,1
2e,1
Database());,1
customer,1
not,1
input,1
args){,1
java.awt.EventQueue.invokeLater(new,1
String,1
funds,1
taken,1
Gets,1
4e,1
charge,1
Helper.getInstance().setDbConn(new,1
page,1
footer,1
regular,1
being,1
customers,1
1,1
client,1
5,1
Subject,1
static,1
has,1
(String)cb.getSelectedItem();,1
Panel,1
sufficinet,1
a,1
Will,1
username,1
those,1
movie,1
main(String[],1
vector,1
4.50e,1
returns,1
factory,1
preComponents,1
application,1
Runnable(),1
testing,1
this.add(p);,1
height,1
picked,1
applying,1
draws,1
